netgo_genes
FIGF
COL17A1
KCNJ16
FXYD1
OXTR
SCARA5
SAMD5
TNXB
ADAMTS9-AS2
MYH11
SLC7A3
COL6A6
CD300LG
SDPR
MAMDC2
PAMR1
CAPN11
HAS3
KCNE1
ZBTB16
TSHZ2
GPIHBP1
AK5
SEMA5A
PGM5
INMT
LYVE1
SCN4B
GPC3
RBMS3
