p2,score
ABHD15,6.475475475475475
ABHD16A,12.773773773773772
ABHD16B,12.225225225225223
ABHD17A,18.858858858858856
ABHD17B,11.452452452452452
ABHD17C,10.637637637637635
ABHD2,19.096096096096094
ABHD3,10.967967967967967
ABHD4,19.217217217217215
ABHD5,28.121121121121117
ABHD6,24.040040040040036
ABHD8,16.184184184184183
ABI1,24.641641641641638
ABI2,22.400400400400397
ABI3,24.47447447447447
ABI3BP,9.750750750750749
ABL1,86.98798798798798
ABL2,32.43043043043043
ABLIM1,20.692692692692688
ABLIM2,19.019019019019016
ABLIM3,18.53353353353353
ABO,4.0090090090090085
ABR,13.639639639639638
ABRA,7.294294294294294
ABRACL,8.415415415415415
ABT1,31.1021021021021
ABTB1,15.615615615615612
ABTB2,11.555555555555555
ACAA1,34.27227227227227
ACAA2,32.09909909909909
ACACA,47.01501501501501
ACACB,36.8058058058058
ACAD10,58.083083083083075
ACAD11,23.239239239239236
ACAD8,21.766766766766764
ACAD9,39.986986986986985
ACADL,32.72472472472472
ACADM,41.79179179179179
ACADS,34.98298298298298
ACADSB,30.79379379379379
ACADVL,42.96396396396396
ACAN,41.09409409409409
ACAP1,28.730730730730727
ACAP2,26.88388388388388
ACAP3,18.2062062062062
ACAT1,35.567567567567565
ACAT2,31.764764764764763
ACBD3,16.37137137137137
ACBD4,15.59259259259259
ACBD5,28.234234234234233
ACBD7,12.95195195195195
ACCS,9.699699699699698
ACCSL,9.33233233233233
ACD,14.365365365365365
ACE,59.18918918918918
ACE2,32.16316316316316
ACER1,14.060060060060058
ACER2,10.911911911911911
ACER3,13.620620620620619
ACHE,31.06306306306306
ACIN1,24.347347347347345
ACKR1,19.952952952952952
ACKR2,18.977977977977975
ACKR3,11.303303303303302
ACKR4,9.808808808808807
ACLY,56.821821821821814
ACMSD,11.864864864864863
ACN9,11.336336336336334
ACO1,49.06806806806806
ACO2,66.63763763763762
ACOT1,19.048048048048045
ACOT11,18.943943943943943
ACOT12,14.158158158158157
ACOT13,28.920920920920917
ACOT2,20.595595595595594
ACOT4,22.295295295295293
ACOT6,6.422422422422421
ACOT7,23.573573573573572
ACOT8,20.008008008008005
ACOT9,17.768768768768766
ACOX1,44.56056056056056
ACOX2,32.08308308308308
ACOX3,30.64564564564564
ACOXL,17.498498498498495
ACP1,20.803803803803802
ACP2,12.634634634634633
ACP5,31.46746746746746
ACP6,11.775775775775774
ACPP,19.481481481481477
ACPT,11.555555555555555
ACR,15.68168168168168
ACRBP,17.408408408408405
ACRC,8.277277277277276
ACRV1,9.796796796796796
ACSBG1,23.317317317317315
ACSBG2,27.6056056056056
ACSF2,25.494494494494493
ACSF3,32.387387387387385
ACSL1,40.71671671671671
ACSL3,36.17317317317317
ACSL4,36.262262262262254
ACSL5,39.17517517517517
ACSL6,37.964964964964956
ACSM1,15.7037037037037
ACSM2A,10.833833833833832
ACSM2B,10.296296296296294
ACSM3,21.011011011011007
ACSM4,11.413413413413412
ACSM5,15.526526526526524
ACSM6,5.460460460460459
ACSS1,26.025025025025023
ACSS2,31.779779779779776
ACSS3,18.699699699699696
ACTA1,104.00200200200199
ACTA2,98.94794794794794
ACTB,287.86486486486484
ACTBL2,40.37937937937937
ACTC1,85.07807807807806
ACTG1,134.34734734734732
ACTG2,71.72372372372371
ACTL10,32.424424424424416
ACTL6A,99.39139139139138
ACTL6B,79.81481481481481
ACTL7A,34.88088088088087
ACTL7B,36.55055055055055
ACTL8,38.09709709709709
ACTL9,35.63063063063062
ACTN1,59.87987987987987
ACTN2,63.32032032032031
ACTN3,47.39039039039039
ACTN4,64.27527527527526
ACTR10,55.95395395395395
ACTR1A,62.245245245245236
ACTR1B,51.52952952952952
ACTR2,64.48948948948949
ACTR3,60.39639639639639
ACTR3B,47.18918918918918
ACTR3C,44.31431431431431
ACTR5,26.45245245245245
ACTR6,31.475475475475474
ACTR8,44.27327327327327
ACTRT1,35.01501501501501
ACTRT2,38.006006006006
ACTRT3,30.66366366366366
ACVR1,30.45645645645645
ACVR1B,35.45745745745745
ACVR1C,24.800800800800797
ACVR2A,37.19519519519519
ACVR2B,33.55355355355355
ACVRL1,26.122122122122118
ACY1,22.102102102102098
ACY3,8.303303303303302
ACYP1,9.378378378378377
ACYP2,5.452452452452452
ADA,35.462462462462454
ADAD1,16.38238238238238
ADAD2,7.438438438438438
ADAL,19.205205205205203
ADAM10,37.11711711711711
ADAM11,27.298298298298295
ADAM12,24.726726726726724
ADAM15,16.617617617617615
ADAM17,32.169169169169166
ADAM18,4.243243243243243
ADAM19,17.24024024024024
ADAM2,13.560560560560559
ADAM20,7.430430430430429
ADAM21,9.033033033033032
ADAM22,24.5055055055055
ADAM23,16.840840840840837
ADAM28,16.260260260260257
ADAM29,8.832832832832832
ADAM30,6.388388388388388
ADAM32,9.663663663663662
ADAM33,16.110110110110107
